,make_model,price,gearing_type,km,kw,age
103,Audi A1,18900.0,Automatic,9082.0,85.0,0.0
104,Audi A1,18900.0,Automatic,9580.0,85.0,0.0
105,Audi A1,18900.0,Automatic,10013.0,85.0,0.0
106,Audi A1,18900.0,Automatic,10450.0,85.0,0.0
107,Audi A1,18900.0,Automatic,14878.0,85.0,0.0
108,Audi A1,18900.0,Automatic,10273.0,85.0,0.0
109,Audi A1,18900.0,Automatic,47500.0,71.0,0.0
110,Audi A1,18900.0,Automatic,9466.0,85.0,0.0
111,Audi A1,18900.0,Automatic,18971.0,85.0,0.0
112,Audi A1,18900.0,Automatic,31877.0,70.0,0.0
113,Audi A1,18900.0,Automatic,9878.0,85.0,0.0
114,Audi A1,18900.0,Automatic,17535.0,70.0,0.0
115,Audi A1,18850.0,Automatic,76264.0,92.0,0.0
116,Audi A1,18850.0,Automatic,6695.0,70.0,0.0
117,Audi A1,18850.0,Automatic,21275.0,92.0,1.0
118,Audi A1,18850.0,Automatic,12261.0,66.0,0.0
119,Audi A1,18840.0,Automatic,3620.0,70.0,1.0
120,Audi A1,18800.0,Automatic,8330.0,85.0,0.0
121,Audi A1,18750.0,Automatic,20306.0,70.0,1.0
122,Audi A1,18730.0,Automatic,1.0,85.0,0.0
123,Audi A1,18700.0,Automatic,27000.0,85.0,1.0
124,Audi A1,18690.0,Automatic,31750.0,92.0,1.0
125,Audi A1,18600.0,Automatic,19800.0,70.0,1.0
126,Audi A1,18500.0,Automatic,52000.0,85.0,1.0
127,Audi A1,18500.0,Automatic,15500.0,70.0,1.0
128,Audi A1,18620.0,Automatic,25977.0,92.0,0.0
129,Audi A1,18500.0,Automatic,9000.0,70.0,0.0
130,Audi A1,18500.0,Automatic,65000.0,66.0,0.0
131,Audi A1,18500.0,Automatic,14493.0,85.0,0.0
132,Audi A1,18500.0,Automatic,33500.0,92.0,0.0
133,Audi A1,18333.0,Automatic,4800.0,70.0,0.0
134,Audi A1,18350.0,Automatic,51000.0,70.0,1.0
135,Audi A1,18349.0,Automatic,7307.0,70.0,0.0
136,Audi A1,18333.0,Automatic,4800.0,70.0,0.0
137,Audi A1,18333.0,Automatic,5500.0,70.0,0.0
138,Audi A1,18300.0,Automatic,35500.0,66.0,0.0
139,Audi A1,18300.0,Automatic,18000.0,92.0,0.0
140,Audi A1,18290.0,Automatic,40000.0,92.0,0.0
141,Audi A1,18250.0,Automatic,14551.0,85.0,0.0
142,Audi A1,18200.0,Automatic,16500.0,85.0,0.0
143,Audi A1,18185.0,Automatic,26700.0,85.0,0.0
144,Audi A1,18150.0,Automatic,8000.0,70.0,0.0
145,Audi A1,18000.0,Automatic,15000.0,85.0,0.0
146,Audi A1,17998.0,Automatic,14436.0,92.0,1.0
147,Audi A1,17998.0,Automatic,72624.0,92.0,1.0
148,Audi A1,17990.0,Automatic,13960.0,66.0,0.0
149,Audi A1,17990.0,Automatic,40301.0,92.0,1.0
150,Audi A1,17990.0,Automatic,19990.0,71.0,0.0
151,Audi A1,17990.0,Automatic,3087.0,70.0,1.0
152,Audi A1,17989.0,Automatic,37626.0,66.0,0.0
153,Audi A1,17980.0,Automatic,22980.0,70.0,0.0
154,Audi A1,17980.0,Automatic,57926.0,66.0,0.0
155,Audi A1,17970.0,Automatic,3900.0,92.0,1.0
156,Audi A1,17980.0,Automatic,7924.0,92.0,0.0
157,Audi A1,17970.0,Automatic,6257.0,85.0,1.0
158,Audi A1,17950.0,Automatic,29800.0,85.0,0.0
159,Audi A1,17950.0,Automatic,35816.0,70.0,0.0
160,Audi A1,17950.0,Automatic,12960.0,92.0,1.0
161,Audi A1,17950.0,Automatic,8600.0,70.0,0.0
162,Audi A1,17950.0,Automatic,14300.0,70.0,1.0
163,Audi A1,17944.0,Automatic,9463.0,70.0,0.0
164,Audi A1,17940.0,Automatic,20326.0,92.0,1.0
165,Audi A1,17950.0,Automatic,70000.0,70.0,1.0
166,Audi A1,17500.0,Automatic,23664.0,66.0,0.0
167,Audi A1,17500.0,Automatic,51900.0,66.0,0.0
168,Audi A1,17500.0,Automatic,15000.0,70.0,0.0
169,Audi A1,17500.0,Automatic,33000.0,92.0,0.0
170,Audi A1,17450.0,Automatic,12000.0,66.0,0.0
171,Audi A1,17500.0,Automatic,42000.0,66.0,0.0
172,Audi A1,17930.0,Automatic,25976.0,85.0,0.0
173,Audi A1,17500.0,Automatic,26299.0,70.0,0.0
174,Audi A1,17495.0,Automatic,40000.0,70.0,1.0
175,Audi A1,17490.0,Automatic,36530.0,66.0,1.0
176,Audi A1,17490.0,Automatic,29159.0,67.0,0.0
177,Audi A1,17490.0,Automatic,55000.0,141.0,1.0
178,Audi A1,17449.0,Automatic,40133.0,70.0,0.0
179,Audi A1,17445.0,Automatic,38562.0,92.0,1.0
180,Audi A1,17444.0,Automatic,7300.0,70.0,0.0
181,Audi A1,17440.0,Automatic,10457.0,92.0,1.0
182,Audi A1,17420.0,Automatic,27058.0,70.0,0.0
183,Audi A1,17450.0,Automatic,38344.0,70.0,1.0
184,Audi A1,17445.0,Automatic,45276.0,110.0,0.0
185,Audi A1,17370.0,Automatic,16607.0,70.0,0.0
186,Audi A1,17350.0,Automatic,26462.0,70.0,0.0
187,Audi A1,17900.0,Automatic,62000.0,66.0,0.0
188,Audi A1,17930.0,Automatic,40257.0,85.0,0.0
189,Audi A1,17920.0,Automatic,36709.0,85.0,0.0
190,Audi A1,17900.0,Automatic,25330.0,70.0,0.0
191,Audi A1,17900.0,Automatic,11300.0,66.0,0.0
192,Audi A1,17900.0,Automatic,10170.0,70.0,0.0
193,Audi A1,17900.0,Automatic,12260.0,85.0,0.0
194,Audi A1,17900.0,Automatic,44604.0,70.0,0.0
195,Audi A1,17900.0,Automatic,25751.0,71.0,0.0
196,Audi A1,17900.0,Automatic,13000.0,70.0,1.0
